Date,Blocks
2026-02-01,"SPIKERS'inc 11:00-12:30
インドネシア学友会 12:30-14:00
ULISバドミントン部 14:00-15:30
KickChat T-ACT 15:30-17:00
中国留学生学友会 17:00-19:00
ULISバレーボール部 19:00-21:00"
2026-02-02,中国留学生学友会 16:30-18:00
2026-02-03,(利用不可)
2026-02-04,"医学フットサル同好会 13:30-15:00
中国留学生学友会 15:00-16:30
ULISバドミントン部 16:30-18:00"
2026-02-05,(利用不可)
2026-02-06,医学フットサル同好会 16:30-19:00
2026-02-07,"医学フットサル同好会 17:00-19:00
ULISバドミントン部 19:00-21:00"
2026-02-08,"ULISバレーボール部 11:00-12:30
中国留学生学友会 12:30-14:00
医学フットサル同好会 14:00-15:30
インドネシア学友会 15:30-17:00
SPIKERS'inc 17:00-19:00
KickChat T-ACT 19:00-21:00"
2026-02-09,ULISバレーボール部 16:30-18:00
2026-02-10,(利用不可)
2026-02-11,"ULISバレーボール部 08:30-10:00
医学フットサル同好会 10:00-11:30
中国留学生学友会 11:30-13:00
KickChat T-ACT 13:00-14:30
ULISバドミントン部 14:30-16:00
SPIKERS'inc 16:00-18:00"
2026-02-12,(利用不可)
2026-02-13,(利用不可)
2026-02-14,医学フットサル同好会 17:00-21:00
2026-02-15,"ULISバドミントン部 11:00-13:00
SPIKERS'inc 13:00-17:00
中国留学生学友会 17:00-19:00
ULISバレーボール部 19:00-21:00"
2026-02-16,ULISバレーボール部 16:30-18:00
2026-02-17,(利用不可)
2026-02-18,(利用不可)
2026-02-19,(利用不可)
2026-02-20,"ULISバレーボール部 16:30-18:00
中国留学生学友会 18:00-19:30
ULISバドミントン部 19:30-21:00"
2026-02-21,"ULISバレーボール部 17:00-19:00
SPIKERS'inc 19:00-21:00"
2026-02-22,"ULISバドミントン部 11:00-12:30
インドネシア学友会 12:30-14:00
ULISバレーボール部 14:00-15:30
SPIKERS'inc 15:30-17:00
中国留学生学友会 17:00-19:00
KickChat T-ACT 19:00-21:00"
2026-02-23,"中国留学生学友会 08:30-10:00
SPIKERS'inc 10:00-12:00
ULISバレーボール部 12:00-14:00
KickChat T-ACT 14:00-16:00
ULISバドミントン部 16:00-18:00"
2026-02-24,(利用不可)
2026-02-25,(利用不可)
2026-02-26,(利用不可)
2026-02-27,医学フットサル同好会 16:30-18:00
2026-02-28,(利用不可)
